cover_id,member_name,top_1_choice,top_2_choice,top_3_choice,assigned_role,total_covers,total_got_1,total_got_2,total_got_3,total_got_none
15,eldora,chaewon,eunchae,kazuha,chaewon,11,5,2,0,4
15,sean,yunjin,kazuha,chaewon,yunjin,6,5,1,0,0
15,jess,chaewon,sakura,yunjin,sakura,9,6,1,0,2
15,vivian,,,,kazuha,1,0,1,0,0
15,jaimee,,,,eunchae,5,4,0,1,0

#plottwist
16,sean,dohoon,kyungmin,shinyu,shinyu,7,6,1,0,0
16,trusha,jihoon,shinyu,hanjin,jihoon,4,1,2,0,1
16,diana,shinyu,dohoon,youngjae,youngjae,7,6,0,1,0
16,kelly,dohoon,youngjae,jihoon,dohoon,8,2,2,1,3
16,thy,kyungmin,jihoon,youngjae,kyungmin,6,2,0,1,3
16,sydney,dohoon,hanjin,youngjae,hanjin,8,1,5,1,1

#ez - missing

#smart
17,trusha,yunjin,sakura,eunchae,kazuha,5,2,2,0,1
17,eldora,chaewon,sakura,kazuha,chaewon,12,6,2,0,4
17,zoe,yunjin,eunchae,sakura,sakura,5,2,1,2,0
17,eilene,yunjin,chaewon,sakura,yunjin,5,4,1,0,0
17,rhonda,yunjin,eunchae,chaewon,eunchae,1,1,0,0,0

#up
18,sean,youngeun,hikaru,dayeon,mashiro,8,6,1,1,0
18,jaimee,youngeun,dayeon,hikaru,youngeun,6,4,0,1,1
18,kelly,dayeon,youngeun,hikaru,dayeon,9,3,2,1,3
18,diana,chaehyun,yeseo,youngeun,yeseo,8,6,0,2,0
18,eldora,hikaru,youngeun,dayeon,hikaru,13,7,2,0,4
18,thy,youngeun,yeseo,mashiro,xiaoting,7,3,0,1,3
18,vivian,hikaru,chaehyun,xiaoting,chaehyun,2,0,1,0,1
18,trusha,,,,yujin,6,2,2,0,2
18,zoe,xiaoting,hiyyih,chaehyun,hiyyih,6,2,1,3,0

#luna - ignore

#smsy
19,sean,exy,yeonjung,seola,exy,9,6,1,1,1
19,jess,,,,dayoung,10,6,2,0,2
19,jorryn,dawon,,,dawon,3,2,1,0,0
19,diana,yeoreum,luda,dawon,luda,9,6,1,2,0
19,jaimee,dayoung,yeonjung,soobin,yeonjung,7,5,0,1,1
19,eldora,yeoreum,,,yeoreum,14,8,2,0,4
19,zoe,,,,soobin,7,2,2,3,0
19,thy,bona,seola,,bona,8,3,0,1,4
19,eilene,dayoung,soobin,seola,seola,6,5,1,0,0
19,rhonda,,,,eunseo,2,1,1,0,0

#crazy
20,diana,yunjin,kazuha,chaewon,yunjin,10,6,2,2,0
20,sydney,kazuha,eunchae,chaewon,kazuha,9,1,6,1,1
20,trusha,,,,sakura,8,2,2,0,3
20,jaimee,,,,eunchae,8,5,1,1,1
20,eldora,chaewon,,,chaewon,15,9,2,0,4

#perfume - ignore

#touch
21,eldora,megan,sophia,yoonchae,yoonchae,16,10,2,0,4
21,melissa,,,,lara,0,0,0,0,0
21,sydney,manon,yoonchae,lara,manon,10,2,6,1,1
21,jaimee,daniela,,,daniela,9,5,1,1,2
21,thy,sophia,yoonchae,lara,sophia,9,4,0,1,4
21,diana,megan,manon,lara,megan,11,7,2,2,0

#heyhey
22,jorryn,,,,hanjin,4,3,1,0,0
22,diana,kyungmin,jihoon,youngjae,kyungmin,12,8,2,2,0
22,jess,,,,shinyu,11,6,2,0,3
22,sean,shinyu,dohoon,youngjae,youngjae,10,7,1,1,1
22,eldora,,,,dohoon,16,10,2,0,4
